Mods count: 289
 
                                jar name                                  |    notes     |                mod id                 |                        mod name                        |         mod version          |                                                                                                                                                                                                                                                                                                                               mixin configs                                                                                                                                                                                                                                                                                                                               |              modrinth hash               | curseforge hash
astikorcarts-1.20.1-1.1.8.jar                                             |              | astikorcarts                          | AstikorCarts Redux                                     | 1.1.8                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 49a8ac1c23282fe86420f0b4527e522421f2f692 | 3288389065     
AttributeFix-Forge-1.20.1-21.0.5.jar                                      |              | attributefix                          | AttributeFix                                           | 21.0.5                       | attributefix.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 76d6b2d0f2a3c9842587ad20666ba419cd8c1efa | 3762486546     
baguettelib-1.20.1-Forge-2.0.5.jar                                        |              | baguettelib                           | BaguetteLib                                            | 2.0.5                        | baguettelib.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 1e9e700ac26d6c6e2070a2ae64aacbdc19cd0fd0 | 4260674330     
balm-forge-1.20.1-7.3.42.jar                                              |              | balm                                  | Balm                                                   | 7.3.42                       | balm.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | d22394596e9f845c0a9a6e45575dbfbfec6b25d9 | 1890952041     
    /META-INF/jarjar/kuma-api-forge-20.1.12+1.20.1.jar                    |              | kuma_api                              | KumaAPI                                                | 20.1.12                      | kuma_api.forge.mixins.json, kuma_api.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                          |                
barrels_2012-2.1.jar                                                      |              | barrels_2012                          | Barrels 2012                                           | 2.1                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 98ef976a9b356dce459fdd249ff19ad14fd375dd | 1796431356     
beneath-1.20.1-1.0.6.jar                                                  |              | beneath                               | Beneath                                                | 1.0.6                        | beneath.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | fc9208fa33d9f6868ab123dc0a73049fe3805201 | 4114027705     
betterp2p-1.5.0-forge.jar                                                 |              | betterp2p                             | Better P2P                                             | 1.5.0                        | betterp2p-common.mixins.json, betterp2p.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 528ccd37ba0dad755e875601bb3326bdeb0f3d4a | 263356958      
BetterPingDisplay-1.20.1-1.1.jar                                          |              | betterpingdisplay                     | Better Ping Display                                    | 1.1                          | betterpingdisplay.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 6347a5bff9405c59ec7d428e5e24115f5b17a90b | 2297727680     
BlockRunner-v8.0.4-1.20.1-Forge.jar                                       |              | blockrunner                           | Block Runner                                           | 8.0.4                        | blockrunner.common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 71fc6fe4b99dc495528edbb0be12b126eab64b6f | 1808343910     
blur-forge-3.1.1.jar                                                      |              | blur                                  | Blur (Forge)                                           | 3.1.1                        | mixins.blur.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 562f34155f3849463449aeb1ab54cc7064e4bc86 | 1712179068     
    /META-INF/jars/satin-forge-1.20.1+1.15.0-SNAPSHOT.jar                 |              | satin                                 | Satin Forge                                            | 1.20.1+1.15.0-SNAPSHOT       | mixins.satin.client.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                          |                
Bookshelf-Forge-1.20.1-20.2.15.jar                                        |              | bookshelf                             | Bookshelf                                              | 20.2.15                      | bookshelf.forge.mixins.json, bookshelf.common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 9df4908f606c6dc62a358b3e04e3fdedba59a12c | 4263061721     
botarium-forge-1.20.1-2.3.4.jar                                           |              | botarium                              | Botarium                                               | 2.3.4                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | a6928cb03b7c5f81900d3d3c8e8c8f6a89a51a5b | 752547332      
buildinggadgets2-1.0.8.jar                                                |              | buildinggadgets2                      | Building Gadgets 2                                     | 1.0.8                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | d06a806e8ca84a9e96a69c32da4b43226a51e0c9 | 71960834       
carpeted-1.20-1.4.jar                                                     |              | carpeted                              | Carpeted                                               | 1.20-1.4                     | carpeted-common.mixins.json, carpeted.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 0a34572db968e103bb783c854943548e475f6ea7 | 1311864805     
carryon-forge-1.20.1-2.1.2.7.jar                                          |              | carryon                               | Carry On                                               | 2.1.2.7                      | carryon.mixins.json, carryon.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 9999714ca3dd2f2401f0396ca44f3b27c3784c4f | 1899432453     
