[22:01:26] [main/INFO]: Found mod file createaddition-1.20.1-1.3.3.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file createdeco-2.0.3-1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file createhorsepower-1.20.1-1.1.0.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file createliquidfuel-2.1.1-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file createpickywheels-forge-1.20.1-6.0.8-6.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file createrailwaysnavigator-forge-1.20.1-beta-0.9.1-C6.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file createstockbridge-1.20-0.2.0.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file createthreadedtrains-forge-1.20.1-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file CreativeCore_FORGE_v2.12.39_mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file Cucumber-1.20.1-7.0.16.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file curios-forge-5.14.1+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file CutThrough-v8.0.2-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file cwb-forge-3.0.0+mc1.20.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file deafission-1.20.1-0.16.0.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file deathban-3.0.0.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file decay_2012-1.20.1-2.0.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file defaultoptions-forge-1.20.1-18.0.5.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file diggerhelmet-1.20.1-1.0.0.31.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file do_a_barrel_roll-forge-3.5.6+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file domum_ornamentum-1.20.1-1.0.304-snapshot-universal.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file dragonlib-forge-1.20.1-beta-3.0.21.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file drippyloadingscreen_forge_3.1.0_MC_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file dsbg-1.0-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file embeddium-0.3.31+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file emi-1.1.24+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file emixx-forge-1.5.3.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file endermanoverhaul-forge-1.20.1-1.0.4.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file EnhancedVisuals_FORGE_v1.8.33_mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file entityculling-forge-1.10.5-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file epic-knights-1.20.1-forge-10.11.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file epic-knights-antique-legacy-1.20.x-forge-1.13.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file etched-3.0.4.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file EuphoriaPatcher-1.10.0-r5.9-forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file everycomp-1.20-2.9.24-forge.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
[22:01:26] [main/INFO]: Found mod file exposure-forge-1.20.1-1.9.21.jar of type MOD with provider {mods folder locator at C:\Users\erikp\curseforge\minecraft\Instances\TerraFirmaGreg-Modern (1)\mods}
